audio_path,label,type,generator,source_name
/root/atadd_track2_subset_v3/train/ATADD_T2_Train_125416.flac,0,music,-,ATADD_T2_Train_125416.flac
/root/atadd_track2_subset_v3/train/ATADD_T2_Train_125417.flac,0,music,-,ATADD_T2_Train_125417.flac
/root/atadd_track2_subset_v3/train/ATADD_T2_Train_125418.flac,0,music,-,ATADD_T2_Train_125418.flac
/root/atadd_track2_subset_v3/train/ATADD_T2_Train_125419.flac,0,music,-,ATADD_T2_Train_125419.flac
/root/atadd_track2_subset_v3/train/ATADD_T2_Train_125420.flac,0,music,-,ATADD_T2_Train_125420.flac
/root/atadd_track2_subset_v3/train/ATADD_T2_Train_125421.flac,0,music,-,ATADD_T2_Train_125421.flac
/root/atadd_track2_subset_v3/train/ATADD_T2_Train_125422.flac,0,music,-,ATADD_T2_Train_125422.flac
/root/atadd_track2_subset_v3/train/ATADD_T2_Train_125424.flac,0,music,-,ATADD_T2_Train_125424.flac
/root/atadd_track2_subset_v3/train/ATADD_T2_Train_125425.flac,0,music,-,ATADD_T2_Train_125425.flac
/root/atadd_track2_subset_v3/train/ATADD_T2_Train_125426.flac,0,music,-,ATADD_T2_Train_125426.flac
/root/atadd_track2_subset_v3/train/ATADD_T2_Train_125427.flac,0,music,-,ATADD_T2_Train_125427.flac
/root/atadd_track2_subset_v3/train/ATADD_T2_Train_125428.flac,0,music,-,ATADD_T2_Train_125428.flac
/root/atadd_track2_subset_v3/train/ATADD_T2_Train_125429.flac,0,music,-,ATADD_T2_Train_125429.flac
/root/atadd_track2_subset_v3/train/ATADD_T2_Train_125430.flac,0,music,-,ATADD_T2_Train_125430.flac
/root/atadd_track2_subset_v3/train/ATADD_T2_Train_125431.flac,0,music,-,ATADD_T2_Train_125431.flac
/root/atadd_track2_subset_v3/train/ATADD_T2_Train_125432.flac,0,music,-,ATADD_T2_Train_125432.flac
/root/atadd_track2_subset_v3/train/ATADD_T2_Train_125433.flac,0,music,-,ATADD_T2_Train_125433.flac
/root/atadd_track2_subset_v3/train/ATADD_T2_Train_125434.flac,0,music,-,ATADD_T2_Train_125434.flac
/root/atadd_track2_subset_v3/train/ATADD_T2_Train_125435.flac,0,music,-,ATADD_T2_Train_125435.flac
/root/atadd_track2_subset_v3/train/ATADD_T2_Train_125436.flac,0,music,-,ATADD_T2_Train_125436.flac
/root/atadd_track2_subset_v3/train/ATADD_T2_Train_125437.flac,0,music,-,ATADD_T2_Train_125437.flac
/root/atadd_track2_subset_v3/train/ATADD_T2_Train_125438.flac,0,music,-,ATADD_T2_Train_125438.flac
